bcs00,_bfRJ7N-9Eem20eoEvevN_A,HMI,Component_1;p:pw_but_mv_dn_1;in_c:bcs --pw_but_mv_dn--|> HMI_1;p:pw_but_mv_up_1;in_c:bcs --pw_but_mv_up--|> HMI_1;p:em_but_mv_left_1;in_c:bcs --em_but_mv_left--|> HMI_1;p:em_but_mv_right_1;in_c:bcs --em_but_mv_right--|> HMI_1;p:em_but_mv_up_1;in_c:bcs --em_but_mv_up--|> HMI_1;p:em_but_mv_dn_1;in_c:bcs --em_but_mv_dn--|> HMI_1;p:pw_but_up_1;out_c:HMI --pw_but_up--|> ManPW_1;p:pw_but_dn_1;out_c:HMI --pw_but_dn--|> ManPW_1;out_c:HMI --pw_but_dn--|> FP_1;p:em_but_right_1;out_c:HMI --em_but_right--|> EM_1;p:em_but_down_1;out_c:HMI --em_but_down--|> EM_1;p:em_but_up_1;out_c:HMI --em_but_up--|> EM_1;p:em_but_left_1;out_c:HMI --em_but_left--|> EM_1
bcs00,_bfRKD9-9Eem20eoEvevN_A,ManPW,Component_1;p:pw_but_up_1;in_c:HMI --pw_but_up--|> ManPW_1;p:pw_but_dn_1;in_c:HMI --pw_but_dn--|> ManPW_1;p:pw_pos_up_1;in_c:bcs --pw_pos_up--|> ManPW_1;p:pw_pos_dn_1;in_c:bcs --pw_pos_dn--|> ManPW_1;p:fp_on_1;in_c:FP --fp_on--|> ManPW_1;p:fp_off_1;in_c:FP --fp_off--|> ManPW_1;p:pw_mv_dn_1;out_c:ManPW --pw_mv_dn--|> bcs_1;p:pw_mv_up_1;out_c:ManPW --pw_mv_up--|> bcs_1
bcs00,_bfRKMN-9Eem20eoEvevN_A,FP,Component_1;p:pw_but_dn_1;in_c:HMI --pw_but_dn--|> FP_1;p:finger_detected_1;in_c:bcs --finger_detected--|> FP_1;p:fp_on_1;out_c:FP --fp_on--|> ManPW_1;p:fp_off_1;out_c:FP --fp_off--|> ManPW_1
bcs00,_bfRKQN-9Eem20eoEvevN_A,EM,Component_1;p:em_but_right_1;in_c:HMI --em_but_right--|> EM_1;p:em_but_down_1;in_c:HMI --em_but_down--|> EM_1;p:em_but_up_1;in_c:HMI --em_but_up--|> EM_1;p:em_but_left_1;in_c:HMI --em_but_left--|> EM_1;p:em_pos_left_1;in_c:bcs --em_pos_left--|> EM_1;p:em_pos_right_1;in_c:bcs --em_pos_right--|> EM_1;p:em_pos_top_1;in_c:bcs --em_pos_top--|> EM_1;p:em_pos_bottom_1;in_c:bcs --em_pos_bottom--|> EM_1;p:em_mv_left_1;out_c:EM --em_mv_left--|> bcs_1;p:em_mv_right_1;out_c:EM --em_mv_right--|> bcs_1;p:em_mv_up_1;out_c:EM --em_mv_up--|> bcs_1;p:em_mv_down_1;out_c:EM --em_mv_down--|> bcs_1
bcs00,_bfRKld-9Eem20eoEvevN_A,c:bcs --pw_but_mv_dn--|> HMI,Connector_1;INPUT_1;src_p:pw_but_mv_dn_1;tgt_p:pw_but_mv_dn_1
bcs00,_bfRKlt-9Eem20eoEvevN_A,c:bcs --pw_but_mv_up--|> HMI,Connector_1;INPUT_1;src_p:pw_but_mv_up_1;tgt_p:pw_but_mv_up_1
bcs00,_bfRKl9-9Eem20eoEvevN_A,c:bcs --em_but_mv_left--|> HMI,Connector_1;INPUT_1;src_p:em_but_mv_left_1;tgt_p:em_but_mv_left_1
bcs00,_bfRKmN-9Eem20eoEvevN_A,c:bcs --em_but_mv_right--|> HMI,Connector_1;INPUT_1;src_p:em_but_mv_right_1;tgt_p:em_but_mv_right_1
bcs00,_bfRKmd-9Eem20eoEvevN_A,c:bcs --em_but_mv_up--|> HMI,Connector_1;INPUT_1;src_p:em_but_mv_up_1;tgt_p:em_but_mv_up_1
bcs00,_bfRKmt-9Eem20eoEvevN_A,c:bcs --em_but_mv_dn--|> HMI,Connector_1;INPUT_1;src_p:em_but_mv_dn_1;tgt_p:em_but_mv_dn_1
bcs00,_bfRKm9-9Eem20eoEvevN_A,c:HMI --pw_but_up--|> ManPW,Connector_1;INTERNAL_1;src_p:pw_but_up_1;tgt_p:pw_but_up_1
bcs00,_bfRKnN-9Eem20eoEvevN_A,c:HMI --pw_but_dn--|> ManPW,Connector_1;INTERNAL_1;src_p:pw_but_dn_1;tgt_p:pw_but_dn_1
bcs00,_bfRKnd-9Eem20eoEvevN_A,c:HMI --pw_but_dn--|> FP,Connector_1;INTERNAL_1;src_p:pw_but_dn_1;tgt_p:pw_but_dn_1
bcs00,_bfRKnt-9Eem20eoEvevN_A,c:HMI --em_but_right--|> EM,Connector_1;INTERNAL_1;src_p:em_but_right_1;tgt_p:em_but_right_1
bcs00,_bfRKn9-9Eem20eoEvevN_A,c:HMI --em_but_down--|> EM,Connector_1;INTERNAL_1;src_p:em_but_down_1;tgt_p:em_but_down_1
bcs00,_bfRKoN-9Eem20eoEvevN_A,c:HMI --em_but_up--|> EM,Connector_1;INTERNAL_1;src_p:em_but_up_1;tgt_p:em_but_up_1
bcs00,_bfRKod-9Eem20eoEvevN_A,c:HMI --em_but_left--|> EM,Connector_1;INTERNAL_1;src_p:em_but_left_1;tgt_p:em_but_left_1
bcs00,_bfRKot-9Eem20eoEvevN_A,c:bcs --pw_pos_up--|> ManPW,Connector_1;INPUT_1;src_p:pw_pos_up_1;tgt_p:pw_pos_up_1
bcs00,_bfRKo9-9Eem20eoEvevN_A,c:bcs --pw_pos_dn--|> ManPW,Connector_1;INPUT_1;src_p:pw_pos_dn_1;tgt_p:pw_pos_dn_1
bcs00,_bfRKpN-9Eem20eoEvevN_A,c:bcs --finger_detected--|> FP,Connector_1;INPUT_1;src_p:finger_detected_1;tgt_p:finger_detected_1
bcs00,_bfRKpd-9Eem20eoEvevN_A,c:FP --fp_on--|> ManPW,Connector_1;INTERNAL_1;src_p:fp_on_1;tgt_p:fp_on_1
bcs00,_bfRKpt-9Eem20eoEvevN_A,c:FP --fp_off--|> ManPW,Connector_1;INTERNAL_1;src_p:fp_off_1;tgt_p:fp_off_1
bcs00,_bfRKp9-9Eem20eoEvevN_A,c:bcs --em_pos_left--|> EM,Connector_1;INPUT_1;src_p:em_pos_left_1;tgt_p:em_pos_left_1
bcs00,_bfRKqN-9Eem20eoEvevN_A,c:bcs --em_pos_right--|> EM,Connector_1;INPUT_1;src_p:em_pos_right_1;tgt_p:em_pos_right_1
bcs00,_bfRKqd-9Eem20eoEvevN_A,c:bcs --em_pos_top--|> EM,Connector_1;INPUT_1;src_p:em_pos_top_1;tgt_p:em_pos_top_1
bcs00,_bfRKqt-9Eem20eoEvevN_A,c:bcs --em_pos_bottom--|> EM,Connector_1;INPUT_1;src_p:em_pos_bottom_1;tgt_p:em_pos_bottom_1
bcs00,_bfRKq9-9Eem20eoEvevN_A,c:ManPW --pw_mv_dn--|> bcs,Connector_1;OUTPUT_1;src_p:pw_mv_dn_1;tgt_p:pw_mv_dn_1
bcs00,_bfRKrN-9Eem20eoEvevN_A,c:ManPW --pw_mv_up--|> bcs,Connector_1;OUTPUT_1;src_p:pw_mv_up_1;tgt_p:pw_mv_up_1
bcs00,_bfRKrd-9Eem20eoEvevN_A,c:EM --em_mv_left--|> bcs,Connector_1;OUTPUT_1;src_p:em_mv_left_1;tgt_p:em_mv_left_1
bcs00,_bfRKrt-9Eem20eoEvevN_A,c:EM --em_mv_right--|> bcs,Connector_1;OUTPUT_1;src_p:em_mv_right_1;tgt_p:em_mv_right_1
bcs00,_bfRKr9-9Eem20eoEvevN_A,c:EM --em_mv_up--|> bcs,Connector_1;OUTPUT_1;src_p:em_mv_up_1;tgt_p:em_mv_up_1
bcs00,_bfRKsN-9Eem20eoEvevN_A,c:EM --em_mv_down--|> bcs,Connector_1;OUTPUT_1;src_p:em_mv_down_1;tgt_p:em_mv_down_1
