ActivityDisabled,_-iBl0uLaEeCVSp8F0qHMxQ,ArgoVersion,n_argoVersion_1;VERSION_1;STABLE_VERSION_1;init__1
ActivityDisabled,_-iBl0OLaEeCVSp8F0qHMxQ,SubsystemUtility,n_subsystemUtility_1;initSubsystem_subsystem_1
ActivityDisabled,_-g-c8OLaEeCVSp8F0qHMxQ,Main,n_main_1;LOG_1;DEFAULT_LOGGING_CONFIGURATION_1;DEFAULT_MODEL_IMPLEMENTATION_1;postLoadActions_1;doSplash_1;reloadRecent_1;batch_1;commands_1;projectName_1;theTheme_1;main_args_1;initPreinitialize__1;initTranslator__1;setSystemProperties__1;parseCommandLine_args_1;initializeSubsystems_st_splash_return_1;initModel__1;openProject_st_splash_pb_urlToOpen_1;getMostRecentProject_return_1;updateProgress_splash_percent_message_1;projectUrl_theProjectName_urlToOpen_return_1;printUsage__1;checkJVMVersion__1;checkHostsFile__1;performCommands_list_1;performCommandsInternal_list_1;initializeSplash_return_1;initializeGUI_splash_return_1;initVersion__1
ActivityDisabled,_-hk54eLaEeCVSp8F0qHMxQ,PostLoad,n_postLoad_1;LOG_1;postLoadActions_1;run__1
ActivityDisabled,_-huD0eLaEeCVSp8F0qHMxQ,LoadModules,n_loadModules_1;LOG_1;OPTIONAL_INTERNAL_MODULES_1;huntForInternalModules__1;run__1
ActivityDisabled,_-e5ZUOLaEeCVSp8F0qHMxQ,StartCritics,n_startCritics_1;LOG_1;run__1
ActivityDisabled,_-iUgwuLaEeCVSp8F0qHMxQ,Argo,n_argo_1;ARGOINI_1;KEY_STARTUP_DIR_1;KEY_SPLASH_1;KEY_EDEM_1;KEY_MOST_RECENT_PROJECT_FILE_1;KEY_MOST_RECENT_EXPORT_DIRECTORY_1;KEY_RELOAD_RECENT_PROJECT_1;KEY_NUMBER_LAST_RECENT_USED_1;KEY_SCREEN_WIDTH_1;KEY_SCREEN_HEIGHT_1;KEY_SCREEN_MAXIMIZED_1;KEY_SCREEN_SOUTHWEST_WIDTH_1;KEY_SCREEN_NORTHWEST_WIDTH_1;KEY_SCREEN_SOUTHEAST_WIDTH_1;KEY_SCREEN_NORTHEAST_WIDTH_1;KEY_SCREEN_WEST_WIDTH_1;KEY_SCREEN_EAST_WIDTH_1;KEY_SCREEN_SOUTH_HEIGHT_1;KEY_SCREEN_NORTH_HEIGHT_1;KEY_SCREEN_THEME_1;KEY_LOOK_AND_FEEL_CLASS_1;KEY_THEME_CLASS_1;KEY_SMOOTH_EDGES_1;KEY_USER_EMAIL_1;KEY_USER_FULLNAME_1;KEY_USER_IMPORT_CLASSPATH_1;KEY_IMPORT_GENERAL_SETTINGS_FLAGS_1;KEY_IMPORT_GENERAL_DETAIL_LEVEL_1;KEY_INPUT_SOURCE_ENCODING_1;KEY_XMI_STRIP_DIAGRAMS_1;KEY_DEFAULT_MODEL_1;KEY_USER_EXPLORER_PERSPECTIVES_1;KEY_LOCALE_1;KEY_GRID_1;KEY_SNAP_1;CONSOLE_LOG_1;ARGO_CONSOLE_SUPPRESS_1;ARGO_CONSOLE_PREFIX_1;DOCUMENTATION_TAG_1;AUTHOR_TAG_1;SINCE_TAG_1;SEE_TAG_1;DEPRECATED_TAG_1;VERSION_TAG_1;DOCUMENTATION_TAG_ALT_1;SCOPE_APPLICATION_1;SCOPE_PROJECT_1;setDirectory_dir_1;getDirectory_return_1;getEncoding_return_1
ActivityDisabled,_-ixMsOLaEeCVSp8F0qHMxQ,AbstractArgoJPanel,n_abstractArgoJPanel_1;LOG_1;OVERLAPP_1;title_1;icon_1;tear_1;orientation_1;getOrientation_return_1;clone_return_1;getTitle_return_1;getIcon_return_1;setIcon_theIcon_1;spawn_return_1
ActivityDisabled,_-jzuhOLaEeCVSp8F0qHMxQ,ArgoStatusEvent,n_argoStatusEvent_1;text_1;getEventStartRange_return_1;getText_return_1
ActivityDisabled,_-jNRkOLaEeCVSp8F0qHMxQ,ArgoEventPump,n_argoEventPump_1;LOG_1;listeners_1;SINGLETON_1;getInstance_return_1;addListener_listener_1;addListener_event_listener_1;removeListener_listener_1;removeListener_event_listener_1;doAddListener_event_listener_1;doRemoveListener_event_listener_1;handleFireNotationEvent_event_listener_1;fireNotationEventInternal_event_listener_1;handleFireDiagramAppearanceEvent_event_listener_1;fireDiagramAppearanceEventInternal_event_listener_1;handleFireHelpEvent_event_listener_1;handleFireStatusEvent_event_listener_1;handleFireProfileEvent_event_listener_1;handleFireGeneratorEvent_event_listener_1;handleFireEvent_event_listener_1;fireEvent_event_1;doFireEvent_event_1
ActivityDisabled,_-jXCkeLaEeCVSp8F0qHMxQ,Pair,n_pair_1;eventType_1;listener_1;getEventType_return_1;getListener_return_1;toString_return_1;hashCode_return_1;equals_o_return_1
ActivityDisabled,_-jgzk-LaEeCVSp8F0qHMxQ,ArgoProfileEvent,n_argoProfileEvent_1;getEventStartRange_return_1
ActivityDisabled,_-jgzkeLaEeCVSp8F0qHMxQ,ArgoDiagramAppearanceEvent,n_argoDiagramAppearanceEvent_1;getEventStartRange_return_1
ActivityDisabled,_-jEHoeLaEeCVSp8F0qHMxQ,ArgoEvent,n_argoEvent_1;eventType_1;getEventType_return_1;getEventStartRange_return_1;getEventEndRange_return_1;toString_return_1
ActivityDisabled,_-jp9guLaEeCVSp8F0qHMxQ,ArgoGeneratorEvent,n_argoGeneratorEvent_1;getEventStartRange_return_1
ActivityDisabled,_-i6WoOLaEeCVSp8F0qHMxQ,ArgoNotationEvent,n_argoNotationEvent_1;getEventStartRange_return_1
ActivityDisabled,_-jzugOLaEeCVSp8F0qHMxQ,ArgoHelpEvent,n_argoHelpEvent_1;helpText_1;getEventStartRange_return_1;getHelpText_return_1
ActivityDisabled,_-kQacOLaEeCVSp8F0qHMxQ,ResourceLoader,n_resourceLoader_1;resourceCache_1;resourceLocations_1;resourceExtensions_1;lookupIconResource_resource_return_1;lookupIconResource_resource_desc_return_1;lookupIconResource_resource_loader_return_1;lookupIconResource_resource_desc_loader_return_1;lookupIconUrl_resource_loader_return_1;addResourceLocation_location_1;addResourceExtension_extension_1;removeResourceLocation_location_1;removeResourceExtension_extension_1;containsExtension_extension_return_1;containsLocation_location_return_1;isInCache_resource_return_1;toJavaIdentifier_s_return_1
ActivityDisabled,_-j84cuLaEeCVSp8F0qHMxQ,ResourceLoaderWrapper,n_resourceLoaderWrapper_1;LOG_1;initialStateIcon_1;deepIcon_1;shallowIcon_1;forkIcon_1;joinIcon_1;branchIcon_1;junctionIcon_1;realizeIcon_1;signalIcon_1;exceptionIcon_1;commentIcon_1;iconCache_1;instance_1;images_1;getInstance_return_1;lookAndFeelPath_classname_element_return_1;initResourceLoader__1;addResourceLocation_location_1;lookupIconResource_resource_return_1;lookupIconResource_resource_desc_return_1;lookupIcon_key_return_1;lookupIcon_value_return_1;getImageBinding_name_return_1;lookupIconUrl_name_loader_return_1;lookupIconUrl_name_return_1
ActivityDisabled,_-kQacuLaEeCVSp8F0qHMxQ,ApplicationVersion,n_applicationVersion_1;version_1;stableVersion_1;getVersion_return_1;getManualForCritic_return_1;getOnlineManual_return_1;getOnlineSupport_return_1;init_v_sv_1
ActivityDisabled,_-kZkYeLaEeCVSp8F0qHMxQ,ArgoAwtExceptionHandler,n_argoAwtExceptionHandler_1
ActivityDisabled,_-mVeEOLaEeCVSp8F0qHMxQ,ListSet,n_listSet_1;TC_LIMIT_1;list_1;set_1;mutex_1;addAllElements_iter_1;addAllElements_iter_2;remove_o_return_1;removeAllElements__1;contains_o_return_1;containsSuchThat_p_return_1;findSuchThat_p_return_1;hashCode_return_1;equals_o_return_1;size_return_1;toString_return_1;transitiveClosure_cg_return_1;reachable_cg_return_1;reachable_cg_max_predicate_return_1;transitiveClosure_cg_max_predicate_return_1;isEmpty_return_1;iterator_return_1;mutex_return_1;toArray_return_1;toArray_arg0_return_1;add_arg0_return_1;containsAll_arg0_return_1;addAll_arg0_return_1;retainAll_arg0_return_1;removeAll_arg0_return_1;clear__1;addAll_arg0_arg1_return_1;get_index_return_1;set_arg0_o_return_1;add_arg0_arg1_1;remove_index_return_1;indexOf_o_return_1;lastIndexOf_o_return_1;listIterator_return_1;listIterator_index_return_1;subList_fromIndex_toIndex_return_1
ActivityDisabled,_-mLtEeLaEeCVSp8F0qHMxQ,AbstractCognitiveTranslator,n_abstractCognitiveTranslator_1;i18nlocalize_key_return_1;i18nmessageFormat_key_args_return_1
ActivityDisabled,_-lvoMeLaEeCVSp8F0qHMxQ,Goal,n_goal_1;UNSPEC_1;name_1;priority_1;hashCode_return_1;equals_d2_return_1;getName_return_1;getPriority_return_1;toString_return_1;getUnspecifiedGoal_return_1
